Opponent_Name;Opponent_bet/Total_chips;Opponent_hand_strength
FHSHWA2-reflex;162/282;53
FHSHWA2-reflex;162/282;53
FHSHWA4-mem;162/356;26
FHSHWA4-mem;162/356;26
FHSHWA4-mem;162/356;26
FHSHWA2-reflex;162/282;25
FHSHWA2-reflex;162/282;25
FHSHWA2-reflex;120/120;26
FHSHWA2-reflex;120/120;26
FHSHWA01reflex;14/200;39
FHSHWA02mem;14/200;36
FHSHWA02mem;14/186;27
FHSHWA01reflex;14/214;51
FHSHWA02mem;12/172;28
FHSHWA01reflex;12/240;29
FHSHWA02mem;14/148;45
FHSHWA01reflex;14/252;26
FHSHWA01reflex;12/238;28
FHSHWA02mem;15/174;25
FHSHWA02mem;13/159;26
FHSHWA01reflex;13/241;35
FHSHWA01reflex;42/254;26
FHSHWA02mem;42/146;49
FHSHWA02mem;14/188;26
FHSHWA01reflex;14/212;64
FHSHWA02mem;22/174;29
FHSHWA01reflex;22/248;30
FHSHWA02mem;22/130;32
FHSHWA02mem;24/108;26
FHSHWA01reflex;24/292;51
FHSHWA02mem;12/200;30
FHSHWA01mem;13/200;50
FHSHWA02mem;12/187;25
FHSHWA02mem;14/175;37
FHSHWA01mem;14/225;31
FHSHWA02mem;12/189;23
FHSHWA01mem;12/223;26
FHSHWA02mem;12/177;28
FHSHWA02mem;66/165;37
FHSHWA01mem;66/235;48
FHSHWA02mem;16/99;33
FHSHWA01mem;16/301;27
FHSHWA02mem;25/92;34
FHSHWA01mem;25/308;38
FHSHWA02mem;22/67;34
FHSHWA01mem;22/355;26
FHSHWA02mem;22/67;34
FHSHWA01mem;22/311;36
FHSHWA01mem;22/316;25
FHSHWA02mem;22/106;24
FHSHWA02mem;23/106;31
FHSHWA01mem;23/294;26
FHSHWA02mem;23/129;39
FHSHWA01mem;23/271;26
FHSHWA01mem;42/248;31
FHSHWA01mem;48/206;27
FHSHWA02mem;48/194;34
FHSHWA01mem;42/158;26
FHSHWA02mem;42/284;34
FHSHWA01mem;42/158;25
FHSHWA02mem;42/284;37
FHSHWA01mem;42/74;26
FHSHWA01mem;44/74;26
FHSHWA02mem;44/326;62
FHSHWA01mem;30/30;31
FHSHWA02mem;42/340;26
FHSHWA01mem;82/102;27
FHSHWA01mem;20/20;52
FHSHWA01mem;40/40;57
FHSHWA01mem;80/80;24
